year,month,temp,sd,nbr
1885,12,3.05,2.8158251432676344,92
1886,01,1.1,2.3325436117669405,93
1886,02,-1.7,1.665281122301501,84
1886,03,-1,3.379792408927319,93
1886,04,5.95,2.1997290152026894,90
1886,05,11.4,2.9662335333675354,93
1886,06,14.8,1.9807436104290133,89
1886,07,16.6,1.9463815458485099,93
1886,08,16.65,1.8764553199067402,92
1886,09,14.9,3.622707032344356,90
1886,10,10.8,2.846162413884441,93
1886,11,7.6,2.1267527837635343,90
1886,12,2.5,3.819551826730821,93
1887,01,-0.2,2.0622862987310016,93
1887,02,0.8,2.659030598944662,83
1887,03,2.2,2.8141526882826873,93
1887,04,6.4,2.5503209355611687,89
1887,05,9.8,2.329191542108913,93
1887,06,14.8,2.285034905499435,90
1887,07,17.4,2.680091267207333,93
1887,08,16.2,2.2034626793608596,93
1887,09,13.8,2.2596026188262046,90
1887,10,8.2,2.9126379041244226,93
1887,11,5,3.266290011152379,90
1887,12,2.7,4.869706281767643,93
1888,01,0.2,2.845689308249178,93
1888,02,-1.2,2.339823524235455,87
1888,03,-1.7,4.297798886501927,93
1888,04,2,2.227201485175265,89
1888,05,8.2,2.8168663187800576,93
1888,06,13.25,3.1533073218713223,90
1888,07,15.1,1.9051295143829894,93
1888,08,15.3,1.4936463622046827,92
1888,09,14.2,2.0992014414142,90
1888,10,8.4,2.1972639069879265,93
1888,11,5.1,2.550694747589522,90
1888,12,3.9,1.775843701136136,93
1889,01,0.5,2.4661684674350455,93
1889,02,-1.6,3.770784111060259,83
1889,03,0.2,3.0986993757723376,93
1889,04,3.55,3.028701653822173,90
1889,05,13.2,2.7720205102433697,93
1889,06,19.6,2.3994121210916326,90
1889,07,17.2,1.891798444806879,93
1889,08,15.4,1.6949416749299184,92
1889,09,12.4,2.3518752313038367,90
1889,10,10.4,2.667840438260986,93
1889,11,7.25,3.0828835586516634,90
1889,12,1.9,2.1449806593499874,93
1890,01,2.9,1.8416376587190422,93
1890,02,0.3,2.028597892403724,84
1890,03,3.6,3.597890725384702,93
1890,04,6.300000000000001,1.7698829461143235,90
1890,05,11.6,2.748934937618131,93
1890,06,14,2.1112980073654026,90
1890,07,15.4,1.9848838526141515,93
1890,08,16.8,1.9668881262938607,93
1890,09,14.8,1.557803841627297,90
1890,10,9.6,3.4152995018353844,93
1890,11,7.4,4.425189078110529,90
1890,12,-1.7,2.0564628055686387,93
1891,01,-2.7,3.3622088484128936,93
1891,02,0.3,1.3902228056054444,84
1891,03,1.3,2.135024823226284,93
1891,04,5,2.5010248154869053,89
1891,05,10,2.5791414360179186,93
1891,06,14.05,3.9050255721443263,90
1891,07,18,1.5387294018257438,93
1891,08,16,1.286637004989634,93
1891,09,14.75,1.943904009076675,90
1891,10,12.649999999999999,3.861659797025091,92
1891,11,4.35,2.5514112028625227,90
1891,12,4.1,2.8007078514865156,93
1892,01,0.6,2.660011125265412,93
1892,02,1.2,2.774529009930274,87
1892,03,0.6,2.9849012284527126,93
1892,04,5.5,1.8190310197652575,89
1892,05,9.8,3.530280751999519,93
1892,06,13.9,2.2137116684002653,90
1892,07,15.2,2.2788051034422487,92
1892,08,16.4,1.871786790142319,93
1892,09,14.55,1.5175313417796008,90
1892,10,9.4,3.325572780003546,93
1892,11,5.1,3.149390088190174,90
1892,12,1,3.6590847702360936,93
1893,01,-5.3,4.802183886470445,93
1893,02,-1.1,3.899429948467995,83
1893,03,2.1,1.8090921478056299,93
1893,04,5.9,2.0285404308641315,90
1893,05,10.8,2.4528889761107737,93
1893,06,15.2,2.6140513899239903,90
1893,07,18.2,2.2496812926842717,93
1893,08,17.7,2.353596811757308,93
1893,09,12.649999999999999,2.059316699396788,90
1893,10,10.6,1.8419815995779467,93
1893,11,4.7,2.4768365107781327,89
1893,12,3.6,1.8638699579628277,93
1894,01,1.8,3.173345482629832,93
1894,02,2.3,2.7477198078194616,84
1894,03,3.6,1.978282035756461,93
1894,04,7.2,2.2540749616160216,90
1894,05,11,2.387811401944801,93
1894,06,15.4,2.7974504622314944,90
1894,07,18.15,2.449324916499208,92
1894,08,16.2,1.6224977137825332,93
1894,09,12.25,2.3698786032742643,90
1894,10,8.3,3.403143227108863,93
1894,11,7.55,1.7933115435235538,90
1894,12,4.1,1.5054676723782447,93
1895,01,-0.8,2.987868567854873,93
1895,02,-3.55,4.624875988785709,84
1895,03,0.6,2.456828268843794,93
1895,04,5.65,3.0645286473146625,90
1895,05,12,2.5200602373381864,93
1895,06,15.649999999999999,2.5389214928914536,90
1895,07,15.9,1.6158952145957761,93
1895,08,16.6,1.889457971456352,93
1895,09,14.8,1.8773187909080944,90
1895,10,9.8,2.8249853644736667,93
1895,11,6.55,3.2745223894335145,90
1895,12,1.6,3.037362401818607,93
1896,01,1.2,1.7377703307112078,93
1896,02,1.4,2.5965031076683727,87
1896,03,3.2,2.3978528848165395,93
1896,04,5.95,2.0563303192878504,90
1896,05,11.6,2.179779252047735,93
1896,06,17.95,2.754892594728402,90
1896,07,18.2,2.642880563288711,93
1896,08,16.6,1.8378653237129732,93
1896,09,14.2,1.8557024843336412,90
1896,10,10.5,1.9107964458579847,93
1896,11,4.1,2.8634717846825226,90
1896,12,1,1.9067735612140053,93
1897,01,-1.6,3.046662963426743,93
1897,02,0.6,4.122587961149919,84
1897,03,2.5,1.4571710121254728,93
1897,04,5.6,2.8410248102637774,90
1897,05,10.9,3.264562798672996,93
1897,06,16.45,2.6914719436528896,90
1897,07,16.9,1.928645313237513,93
1897,08,18.6,1.7579951605656456,93
1897,09,13.8,1.8156102828322196,90
1897,10,9.2,2.1334016322634093,93
1897,11,5.6,2.7153204311269383,90
1897,12,4.2,2.079502134107994,93
1898,01,4.3,1.9547367578337416,93
1898,02,2.75,2.492939829996692,84
1898,03,2.4,1.8711079286843433,93
1898,04,5.1,1.809167941126804,90
1898,05,9.4,1.8763550503289113,93
1898,06,14.850000000000001,2.208375838754243,90
1898,07,14.2,1.5531611282851765,93
1898,08,16,1.849935242665817,93
1898,09,14.2,2.163787773347906,90
1898,10,9.6,3.5112012704844098,93
1898,11,7.05,2.1717827813660837,90
1898,12,5.8,2.9391864868192825,93
1899,01,3.1,2.7527830280012964,93
1899,02,3,3.041149230188382,84
1899,03,2.9,4.028508448285241,93
1899,04,6.15,1.697837355400469,90
1899,05,11.1,2.8949190549540167,93
1899,06,14.2,2.2320343922282846,90
1899,07,19.6,2.629913420681469,93
1899,08,17.4,2.466042875018716,93
1899,09,13.850000000000001,2.2184269713506417,90
1899,10,10.2,1.9009692171282992,93
1899,11,8.7,1.7518087674038678,90
1899,12,0,3.4940261581489187,93
1900,01,0.5,2.6517973122973117,93
1900,02,0.6,2.8942154507150595,84
1900,03,1.4,2.1946005609799224,93
1900,04,5.45,2.601847993978566,90
1900,05,9.4,2.3660856670510086,93
1900,06,15.4,1.8790971880659215,90
1900,07,18.4,2.5532798439780016,93
1900,08,17,2.0711068063862763,93
1900,09,14.3,1.8140401244277118,90
1900,10,10.1,2.9922179727498026,93
1900,11,6.55,1.885293633600316,90
1900,12,5.4,3.050441993127584,93
1901,01,-0.4,2.5955908959448393,93
1901,02,-1.8,3.3366882141831833,84
1901,03,1.2,1.6994664069219476,93
1901,04,5.2,2.7087954949954907,90
1901,05,12.1,2.62225657526434,93
1901,06,14.4,2.297686237814184,90
1901,07,20.3,2.4345600729799433,93
1901,08,18.9,2.475703818495752,93
1901,09,14.9,1.9970905804486823,90
1901,10,11.6,2.5019408081300862,93
1901,11,6,2.6891164099323204,90
1901,12,2.8,2.5889938587337378,93
1902,01,4,2.3265410723612474,93
1902,02,-0.6,1.8793602963110998,84
1902,03,2.6,2.142411071361184,93
1902,04,4.9,1.9367040872570085,90
1902,05,8,3.147095472205037,93
1902,06,14.4,2.7424869565080394,90
1902,07,15.2,1.7932754500200727,93
1902,08,14.4,1.3971352510658805,93
1902,09,13,2.5999762315248924,90
1902,10,9,1.5763645513303632,93
